2012 Valentine Pen,"Always write in style with this colorful, beaded pen!",35,Pen,1
2012 Valentine Purse Holder,For our 2012 Valentine's Day Giveaway- receive a FREE Valentine Purse Holder with a $100 purchase! Use code: FEB2012,24,Purse Holder,1
2012 Valentine Ring,"These She Beads Rings are calling! RING! Pick-up one of these artzy additions to add to your ring collection today. Square Rings are made with a silver plated, adjustable base. One size fits all.",24,Ring,1
2012 Valentine Bracelet Featuring a Carved Heart and Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,50,Bracelet SB SP,1
2012 Valentine Bracelet Featuring a Carved Heart and Swarovski Crystal,Dainty designs and pretty patterns enhanced by tiny crystal spacers. Perfect when you want to sport a little sparkle!,58,Bracelet SB CR,1
2012 Valentine Bracelet Featuring a Sterling Silver Heart and Bali Sterling Silver,Artisan wrought Bali sterling silver accents the delicate intricacies of our hand designed clay patterns.  Crafted for the individual in you!,100,Bracelet LB BS,1
2012 Valentine Bracelet Featuring a Sterling Silver Heart and Swarovski Crystal,"Slip-on ELEGANCE! This is the definitive She Beads bracelet. No collection is complete without #1 stackable stunner. You'll be ""living large"" with beads to match!",100,Bracelet LB CR,1
FREE GIFT! 2012 Valentine Purse Holder,Oh Happy Day! 2012 Valentine's Day Giveaway- receive a FREE Valentine Purse Holder with a $100 purchase! ,0,Purse Holder,1
