Avery Large Bead Earrings All Clay,"Our small and large bead, nestle together on this sterling silver French clip classic.  It's a delicate dangle, with a designer flair! The Triple Crystal Earrings drop much lower than the others, creating a very elegant style! <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",28,Earrings Double AC,1
Avery Large Bead Earrings with Swarovski Crystal,This dual bead sparkler will light up any occasion!  Swarovski crystal and its sterling silver French clip make it doubly delightful. <BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings!),36,Earrings Double CR,1
Avery Triple Earrings All Clay,"The NEWEST of earring designs! The Triple Earrings drop much lower than the others, creating a very elegant style!<BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",36,Earrings Triple AC,1
Avery Triple Earrings with Swarovski Crystal,"The NEWEST of earring designs! The Triple Earrings drop much lower than the others, creating a very elegant style!<BR> <BR> NEW CLIP-ON's! (choose the option below if you prefer clip-on earrings)",48,Earrings Triple CR,1
Avery Cross Pendant,"This two-sided clay creation does double the duty! Inlaid in silver, one side features a black and white motif design. The flip side is all about your color! Its sterling silver bail attaches easily to any She Beads bracelet or necklace, or even a ribbon of your choice!",45,Pendant-Cross/Tear/Oval,1
Avery Square Bead,"She Beads Squares are the fun, funky, fashionable jewelry addition to your add a bead charm bracelet! They easily slide onto and off of the leading add-a-bead charm bracelets! With so many different styles, we can't even pick a favorite!",10,"SOLO - Bead, Square",1
Avery Lanyard,"This functional companion gives you a simple and stylish way to sport your name badge, glasses, or even needlepoint scissors for the crafty creators!",36,Lanyard,1
Madeline Small Bead Bracelet with Silver Plate Rounds,The Silver Plate Bracelets are the most affordable of the She Beads bracelets. These bracelets are strung with 3-ply elastic and silver plated findings.,25,Bracelet SB SP,1
Madeline Small Bead Bracelet All Clay,"These small bead beauties are the perfect anytime you want that one-of-a-kind accent.  Single or stacked, theyâ€™re a surefire standout!",48,Bracelet SB AC,1
Madeline Small Bead Bracelet with Sterling Silver Rounds,A timeless look from these sterling silver rounds. These bracelets are a great way to start your She Beads collection.,50,Bracelet SB SR,1
Madeline Small Bead Bracelet with Swarovski Crystal,Dainty designs and pretty patterns enhanced by tiny crystal spacers.  Perfect when you want to sport a little sparkle!,68,Bracelet SB CR,1
Madeline Small Bead Bracelet with Bali Sterling Silver,"This diminutive, yet distinctive combination suggests a quiet elegance. Reserved and refined, its Bali sterling silver still says STYLE!",70,Bracelet SB BS,1
